city_mpg,combination_mpg,cylinders,displacement,highway_mpg,year
19.0,22.0,4.0,2.5,25,2021
18.0,21.0,6.0,3.6,25,2021
19.0,22.0,4.0,2.5,25,2021
18.0,21.0,6.0,3.6,25,2021
19.0,21.0,4.0,2.5,24,2021
17.0,19.0,6.0,3.6,24,2021
19.0,22.0,6.0,3.5,28,2022
21.0,24.0,4.0,2.5,29,2022
22.0,25.0,4.0,2.5,32,2022
17.0,20.0,6.0,3.3,24,2022
18.0,20.0,6.0,3.3,25,2022
19.0,22.0,6.0,3.5,26,2022
19.0,22.0,6.0,3.5,26,2022
26.0,29.0,4.0,2.5,33,2022
25.0,26.0,4.0,1.5,28,2022
26.0,27.0,4.0,1.5,29,2022
19.0,21.0,6.0,3.5,25,2022
25.0,25.0,4.0,1.5,26,2022
25.0,26.0,4.0,1.5,28,2022
18.0,21.0,6.0,3.3,27,2022
20.0,23.0,4.0,2.0,28,2022
23.0,26.0,4.0,2.4,30,2022
24.0,27.0,4.0,2.5,31,2022
19.0,21.0,6.0,3.5,25,2022
24.0,26.0,4.0,2.5,29,2022
19.0,21.0,4.0,2.0,24,2022
22.0,23.0,4.0,2.4,26,2022
24.0,26.0,4.0,2.5,30,2022
29.0,32.0,4.0,1.6,35,2022
30.0,32.0,4.0,2.0,35,2022
27.0,29.0,4.0,1.6,32,2022
28.0,30.0,4.0,2.0,33,2022
29.0,32.0,3.0,1.5,38,2022
27.0,31.0,3.0,1.5,37,2022
23.0,26.0,4.0,2.0,33,2022
15.0,17.0,8.0,4.4,21,2022
15.0,17.0,8.0,4.4,21,2022
29.0,32.0,3.0,1.5,38,2022
27.0,31.0,3.0,1.5,37,2022
29.0,32.0,3.0,1.5,38,2022
27.0,31.0,3.0,1.5,37,2022
23.0,27.0,4.0,2.0,33,2022
23.0,27.0,4.0,2.0,33,2022
22.0,25.0,4.0,2.0,31,2022
17.0,20.0,6.0,3.3,25,2022
24.0,27.0,4.0,2.0,31,2022
23.0,26.0,4.0,2.0,30,2022
15.0,17.0,8.0,4.4,21,2022
15.0,17.0,8.0,4.4,21,2022
26.0,29.0,3.0,1.5,33,2022
23.0,26.0,3.0,1.5,30,2022
23.0,26.0,4.0,2.0,33,2022
34.5,37.0,4.0,1.6,36,2022
34.5,37.5,4.0,1.6,38,2022
17.0,20.0,8.0,4.4,25,2022
17.0,19.0,8.0,4.4,24,2022
18.0,19.0,4.0,2.0,21,2023
25.0,28.0,4.0,2.5,32,2023
23.0,25.0,4.0,2.5,28,2023
19.0,21.0,4.0,2.0,22,2023
19.0,22.0,6.0,3.0,25,2023
17.0,18.0,4.0,2.0,20,2023
18.0,20.0,6.0,3.0,23,2023
18.0,20.0,6.0,3.0,23,2023
15.0,16.0,8.0,5.0,19,2023
14.0,16.0,8.0,5.0,19,2023
20.0,22.0,4.0,2.0,27,2023
19.0,20.0,4.0,2.0,23,2023
16.0,18.0,8.0,5.0,24,2023
16.0,18.0,8.0,5.0,24,2023
17.0,19.0,8.0,5.0,24,2023
17.0,19.0,8.0,5.0,24,2023
16.0,18.0,8.0,5.0,24,2023
16.0,18.0,8.0,5.0,24,2023
17.0,20.0,6.0,3.3,26,2023
18.0,21.0,6.0,3.3,27,2023
21.0,25.0,4.0,2.0,31,2023
21.0,23.0,4.0,2.0,26,2023
20.0,23.0,4.0,2.0,28,2023
19.0,22.0,6.0,3.5,28,2023
19.0,22.0,4.0,2.5,26,2023
22.0,24.0,4.0,2.5,28,2023
19.0,21.0,6.0,3.5,24,2023
34.5,37.5,4.0,1.6,38,2023
34.5,37.5,4.0,1.6,44,2023
20.0,22.0,4.0,2.5,24,2023
18.0,20.0,6.0,3.5,23,2023
29.0,32.0,3.0,1.5,38,2023
27.0,31.0,3.0,1.5,37,2023
17.0,19.0,8.0,4.4,24,2023
17.0,19.0,8.0,4.4,24,2023
15.0,17.0,8.0,4.4,22,2023
15.0,17.0,8.0,4.4,22,2023
29.0,32.0,3.0,1.5,38,2023
27.0,31.0,3.0,1.5,37,2023
29.0,32.0,3.0,1.5,38,2023
27.0,31.0,3.0,1.5,37,2023
24.0,27.0,4.0,2.0,31,2023
17.0,19.0,8.0,4.4,24,2023
17.0,19.0,8.0,4.4,24,2023
15.0,17.0,8.0,4.4,22,2023
21.0,24.0,4.0,2.5,29,2023
22.0,25.0,4.0,2.5,32,2023
17.0,20.0,6.0,3.3,24,2023
18.0,20.0,6.0,3.3,25,2023
26.0,28.0,3.0,1.5,32,2023
16.0,18.0,8.0,5.0,24,2024
16.0,18.0,8.0,5.0,24,2024
17.0,19.0,8.0,5.0,24,2024
17.0,19.0,8.0,5.0,24,2024
16.0,18.0,8.0,5.0,24,2024
16.0,18.0,8.0,5.0,24,2024
28.0,30.0,3.0,1.2,32,2024
20.0,23.0,4.0,2.0,26,2024
20.0,22.0,4.0,2.0,27,2024
19.0,20.0,4.0,2.0,23,2024
28.0,31.0,4.0,2.0,34,2024
25.0,26.0,4.0,1.6,27,2024
27.0,29.0,4.0,2.0,31,2024
29.0,32.0,3.0,1.5,38,2024
27.0,31.0,3.0,1.5,38,2024
27.0,30.0,4.0,2.0,36,2024
23.0,27.0,4.0,2.0,33,2024
25.0,28.0,4.0,2.0,33,2024
25.0,28.0,4.0,2.0,34,2024
23.0,27.0,4.0,2.0,33,2024
25.0,28.0,4.0,2.0,34,2024
23.0,27.0,4.0,2.0,33,2024
16.0,19.0,6.0,3.0,23,2024
16.0,19.0,6.0,3.0,23,2024
16.0,18.0,6.0,3.0,22,2024
16.0,18.0,6.0,3.0,23,2024
21.0,24.0,6.0,3.0,29,2024
21.0,24.0,6.0,3.0,29,2024
21.0,24.0,6.0,3.0,29,2024
21.0,24.0,6.0,3.0,29,2024
17.0,19.0,8.0,4.4,24,2024
17.0,19.0,8.0,4.4,24,2024
15.0,17.0,8.0,4.4,22,2024
15.0,17.0,8.0,4.4,22,2024
29.0,32.0,3.0,1.5,38,2024
27.0,31.0,3.0,1.5,38,2024
29.0,32.0,3.0,1.5,38,2024
27.0,31.0,3.0,1.5,38,2024
28.0,31.0,4.0,2.0,38,2024
23.0,27.0,4.0,2.0,33,2024
28.0,31.0,4.0,2.0,38,2024
23.0,27.0,4.0,2.0,33,2024
26.0,29.0,4.0,2.0,35,2024
22.0,26.0,4.0,2.0,32,2024
25.0,28.0,4.0,2.0,34,2024
23.0,27.0,4.0,2.0,33,2024
21.0,24.0,6.0,3.0,29,2024
21.0,24.0,6.0,3.0,29,2024
17.0,19.0,8.0,4.4,24,2024
17.0,19.0,8.0,4.4,24,2024
